# ATP-8 30-Minute Endurance Test
timestamp_ms,ax,ay,az_raw,az_filt,gx,gy,gz,lat,lon
896,-0.3948,0.0215,9.7244,7.0492,0.0580,0.0473,0.1042,0.000000,0.000000
910,-0.3900,-0.0359,9.7795,7.0687,0.0515,0.0432,0.0893,0.000000,0.000000
924,-0.3876,-0.0718,9.7843,7.0381,0.0140,0.0266,0.0661,0.000000,0.000000
938,-0.3470,-0.0479,9.7603,6.9791,-0.0098,0.0099,0.0541,0.000000,0.000000
952,-0.4116,-0.0096,9.6718,6.8562,-0.0037,0.0165,0.0463,0.000000,0.000000
966,-0.4140,-0.0072,9.7005,6.8504,0.0261,0.0397,0.0437,0.000000,0.000000
980,-0.4092,-0.0120,9.7268,6.8424,0.0699,0.0570,0.0489,0.000000,0.000000
994,-0.3733,-0.0287,9.7244,6.8058,0.0864,0.0681,0.0447,0.000000,0.000000
1008,-0.3350,-0.1029,9.7436,6.7908,0.0851,0.0719,0.0458,0.000000,0.000000
1022,-0.3278,-0.0574,9.7484,6.7616,0.0666,0.0608,0.0443,0.000000,0.000000
1036,-0.2752,-0.1029,9.7843,6.7635,0.0263,0.0318,0.0475,0.000000,0.000000
1050,-0.3159,-0.1316,9.7866,6.7321,-0.0133,0.0087,0.0476,0.000000,0.000000
1064,-0.3326,-0.0407,9.7173,6.6294,-0.0276,0.0009,0.0452,0.000000,0.000000
1078,-0.3972,-0.0526,9.7340,6.6129,-0.0182,0.0044,0.0475,0.000000,0.000000
1092,-0.3972,-0.0479,9.7077,6.5536,0.0179,0.0281,0.0451,0.000000,0.000000
1106,-0.3565,-0.0933,9.7292,6.5423,0.0399,0.0421,0.0486,0.000000,0.000000
1120,-0.3278,-0.0957,9.7819,6.5620,0.0382,0.0385,0.0447,0.000000,0.000000
1134,-0.3254,-0.0766,9.7436,6.4911,0.0079,0.0217,0.0464,0.000000,0.000000
1148,-0.3206,-0.0885,9.7555,6.4705,-0.0160,0.0073,0.0431,0.000000,0.000000
1162,-0.3278,-0.0407,9.7340,6.4167,-0.0142,0.0046,0.0451,0.000000,0.000000
1176,-0.4164,-0.0263,9.7173,6.3680,0.0000,0.0156,0.0441,0.000000,0.000000
