# ATP-5 SD Integrity Test
timestamp_ms,ax,ay,az_raw,az_filt,gx,gy,gz
1134,-0.1053,-0.0526,9.6311,6.4501,0.0052,0.0212,0.0328
1148,-0.1316,-0.0526,9.6215,6.4084,0.0061,0.0238,0.0324
1162,-0.0742,-0.0766,9.6096,6.3644,0.0043,0.0179,0.0354
1176,-0.0861,-0.0981,9.5665,6.2897,0.0037,0.0234,0.0356
1190,-0.1101,-0.0957,9.6861,6.3773,0.0031,0.0232,0.0313
1204,-0.1149,-0.0766,9.5904,6.2502,0.0053,0.0211,0.0342
1218,-0.0670,-0.1077,9.5641,6.1928,0.0014,0.0281,0.0339
1232,-0.1149,-0.0646,9.6431,6.2404,0.0053,0.0243,0.0354
1246,-0.0885,-0.0718,9.6000,6.1663,0.0040,0.0258,0.0380
1260,-0.1268,-0.0455,9.6431,6.1783,0.0009,0.0229,0.0367
1274,-0.1053,-0.0431,9.6120,6.1165,0.0008,0.0264,0.0341
1288,-0.0670,-0.0407,9.6144,6.0883,0.0027,0.0202,0.0328
1302,-0.1005,-0.0981,9.6048,6.0483,0.0034,0.0217,0.0325
1316,-0.1101,-0.0502,9.6191,6.0324,0.0029,0.0215,0.0356
1330,-0.1029,-0.0718,9.5976,5.9808,0.0012,0.0260,0.0354
1344,-0.0670,-0.0957,9.5856,5.9390,0.0037,0.0234,0.0356
1358,-0.1340,-0.0574,9.5880,5.9117,0.0035,0.0217,0.0344
1372,-0.0981,-0.0574,9.6359,5.9297,-0.0021,0.0221,0.0328
1386,-0.0646,-0.0718,9.6814,5.9453,-0.0002,0.0264,0.0316
1400,-0.0670,-0.0909,9.6215,5.8561,0.0046,0.0240,0.0334
1414,-0.1005,-0.0407,9.6048,5.8101,0.0021,0.0238,0.0338
1428,-0.1364,-0.0814,9.6239,5.8001,0.0041,0.0249,0.0322
1442,-0.1029,-0.0287,9.6287,5.7759,0.0040,0.0229,0.0367
1456,-0.1172,-0.0526,9.6598,5.7779,0.0012,0.0254,0.0316
1470,-0.1268,-0.0837,9.6383,5.7276,0.0047,0.0232,0.0336
1484,-0.1268,-0.0885,9.6215,5.6823,0.0017,0.0229,0.0344
1498,-0.1268,-0.0526,9.6168,5.6491,0.0032,0.0237,0.0350
1512,-0.0933,-0.0742,9.6359,5.6399,0.0024,0.0263,0.0333
1526,-0.0790,-0.0981,9.6479,5.6237,0.0050,0.0254,0.0336
1540,-0.0646,-0.0622,9.6287,5.5765,-0.0008,0.0246,0.0370
1554,-0.0885,-0.0742,9.6120,5.5319,0.0057,0.0260,0.0344
1568,-0.0479,-0.0598,9.6072,5.4995,0.0037,0.0188,0.0338
1582,-0.0598,-0.0502,9.6503,5.5149,0.0057,0.0205,0.0360
1596,-0.1172,-0.0814,9.6550,5.4921,0.0040,0.0258,0.0354
1610,-0.0814,-0.1029,9.6574,5.4670,0.0006,0.0212,0.0359
1624,-0.1268,-0.0526,9.6766,5.4587,0.0044,0.0257,0.0348
1638,-0.1890,-0.0455,9.6766,5.4314,0.0020,0.0266,0.0334
1652,-0.0239,-0.0766,9.7316,5.4590,-0.0011,0.0249,0.0348
1666,-0.0933,-0.0215,9.6838,5.3841,0.0066,0.0220,0.0345
1680,-0.1196,-0.0526,9.5928,5.2667,0.0089,0.0238,0.0341
1694,-0.0790,-0.0359,9.6861,5.3332,0.0104,0.0220,0.0338
1708,-0.1101,-0.0957,9.7531,5.3732,0.0092,0.0183,0.0363
1722,-0.0502,-0.0694,9.5761,5.1702,0.0072,0.0229,0.0336
1736,-0.0550,-0.0622,9.5809,5.1491,0.0050,0.0237,0.0371
1750,-0.0957,-0.1244,9.6215,5.1638,0.0037,0.0240,0.0327
1764,-0.1244,-0.1077,9.6574,5.1737,0.0070,0.0276,0.0322
1778,-0.0909,-0.0526,9.6574,5.1478,0.0027,0.0250,0.0350
1792,-0.0957,-0.0311,9.6479,5.1126,0.0034,0.0261,0.0351
1806,-0.0814,-0.0383,9.5928,5.0322,0.0035,0.0234,0.0371
1820,-0.1340,-0.0742,9.6479,5.0618,0.0049,0.0267,0.0347
1834,-0.0957,-0.0479,9.6981,5.0865,0.0012,0.0273,0.0348
1848,-0.1172,-0.0479,9.6335,4.9968,0.0034,0.0243,0.0367
1862,-0.1316,-0.0431,9.6287,4.9671,0.0029,0.0263,0.0354
1876,-0.1172,-0.0694,9.6646,4.9780,0.0035,0.0203,0.0342
1890,-0.1172,-0.0646,9.6000,4.8888,0.0041,0.0237,0.0342
1904,-0.1125,-0.0790,9.5809,4.8453,0.0026,0.0234,0.0359
1918,-0.0622,-0.0861,9.6526,4.8925,0.0009,0.0232,0.0376
1932,-0.0766,-0.0981,9.6263,4.8418,0.0005,0.0249,0.0341
1946,-0.0957,-0.0718,9.7292,4.9200,0.0055,0.0244,0.0360
1960,-0.0861,-0.0335,9.6168,4.7835,0.0076,0.0237,0.0350
1974,-0.1196,-0.1029,9.6335,4.7763,0.0041,0.0231,0.0345
1988,-0.1172,-0.0622,9.7101,4.8286,0.0029,0.0252,0.0377
2002,-0.1101,-0.0502,9.6383,4.7330,0.0031,0.0249,0.0354
2016,-0.0885,-0.0766,9.6550,4.7260,0.0047,0.0205,0.0327
2030,-0.0957,-0.0933,9.6885,4.7357,0.0026,0.0235,0.0344
2044,-0.1220,-0.0215,9.6431,4.6668,0.0064,0.0232,0.0357
2058,-0.1077,-0.0550,9.6694,4.6696,0.0032,0.0273,0.0339
2072,-0.0598,-0.0550,9.6096,4.5868,0.0029,0.0212,0.0339
2086,-0.1149,-0.0861,9.6550,4.6091,0.0024,0.0229,0.0342
2100,-0.1531,-0.0718,9.7244,4.6551,0.0029,0.0261,0.0315
2114,-0.0861,-0.1125,9.6431,4.5508,0.0024,0.0279,0.0357
2128,-0.1268,-0.0550,9.5976,4.4829,0.0035,0.0263,0.0357
2142,-0.1077,-0.0957,9.7196,4.5819,0.0049,0.0229,0.0368
2156,-0.0742,-0.0622,9.6981,4.5375,0.0047,0.0223,0.0353
2170,-0.0861,-0.0837,9.5737,4.3910,0.0021,0.0272,0.0351
2184,-0.0885,-0.0766,9.6694,4.4643,0.0029,0.0269,0.0363
2198,-0.0909,-0.0933,9.7316,4.5039,0.0052,0.0243,0.0321
2212,-0.1244,-0.0646,9.7101,4.4599,0.0041,0.0208,0.0334
2226,-0.1388,-0.0742,9.6885,4.4162,0.0081,0.0218,0.0363
2240,-0.1268,-0.1244,9.6622,4.3679,0.0063,0.0252,0.0365
2254,-0.1220,-0.0861,9.6479,4.3318,0.0035,0.0250,0.0341
2268,-0.1388,-0.0837,9.6479,4.3102,0.0053,0.0218,0.0353
2282,-0.0766,-0.0574,9.6503,4.2910,0.0026,0.0224,0.0368
2296,-0.1101,-0.0718,9.6670,4.2862,0.0037,0.0258,0.0362
2310,-0.1053,-0.1101,9.6598,4.2576,0.0070,0.0263,0.0315
2324,-0.0670,-0.0814,9.6790,4.2554,0.0044,0.0254,0.0344
2338,-0.1077,-0.0526,9.6550,4.2103,0.0037,0.0244,0.0353
2352,-0.1436,-0.0718,9.6814,4.2154,0.0061,0.0252,0.0342
2366,-0.0837,-0.0598,9.6885,4.2015,0.0003,0.0241,0.0353
2380,-0.1077,-0.0550,9.6407,4.1329,0.0011,0.0270,0.0344
2394,-0.1125,-0.0407,9.6359,4.1075,0.0018,0.0270,0.0345
2408,-0.0790,-0.0622,9.6503,4.1012,0.0058,0.0244,0.0359
2422,-0.0981,-0.0263,9.7149,4.1450,0.0055,0.0266,0.0353
2436,-0.0933,-0.0431,9.6574,4.0671,0.0018,0.0272,0.0351
2450,-0.1244,-0.0718,9.6670,4.0563,0.0084,0.0257,0.0333
2464,-0.1053,-0.0933,9.6598,4.0289,0.0041,0.0199,0.0324
2478,-0.1316,-0.0718,9.7316,4.0802,0.0050,0.0270,0.0357
2492,-0.0957,-0.0885,9.7196,4.0479,0.0020,0.0231,0.0334
2506,-0.1220,-0.0574,9.6814,3.9895,0.0029,0.0255,0.0334
2520,-0.0933,-0.1005,9.6503,3.9386,0.0037,0.0223,0.0341
2534,-0.0933,-0.0790,9.6814,3.9499,0.0050,0.0263,0.0356
2548,-0.0814,-0.0837,9.6981,3.9468,0.0018,0.0254,0.0368
2562,-0.0909,-0.0957,9.7149,3.9437,0.0000,0.0229,0.0344
2576,-0.0981,-0.0670,9.7220,3.9312,0.0024,0.0258,0.0338
2590,-0.1436,-0.0790,9.6933,3.8829,0.0063,0.0243,0.0363
2604,-0.1149,-0.0598,9.6766,3.8469,0.0014,0.0220,0.0310
2618,-0.1077,-0.0718,9.6670,3.8181,0.0032,0.0261,0.0356
2632,-0.1268,-0.0861,9.6790,3.8109,0.0031,0.0246,0.0334
2646,-0.1005,-0.0646,9.6909,3.8038,0.0032,0.0252,0.0353
2660,-0.1029,-0.0550,9.6694,3.7633,0.0047,0.0269,0.0362
2674,-0.0837,-0.0861,9.6861,3.7612,0.0038,0.0244,0.0324
2688,-0.1053,-0.0766,9.7101,3.7662,0.0073,0.0199,0.0371
2702,-0.1053,-0.0694,9.6670,3.7045,0.0029,0.0235,0.0373
2716,-0.0981,-0.0885,9.6311,3.6502,0.0043,0.0232,0.0351
2730,-0.0861,-0.0909,9.6814,3.6820,0.0032,0.0229,0.0363
2744,-0.1125,-0.0790,9.7077,3.6898,0.0000,0.0269,0.0368
2758,-0.0909,-0.0646,9.6766,3.6404,0.0064,0.0292,0.0411
2772,-0.1484,-0.0646,9.6311,3.5769,0.0038,0.0258,0.0382
2786,-0.1053,-0.0574,9.6838,3.6114,0.0078,0.0247,0.0341
2800,-0.1220,-0.0550,9.6766,3.5862,0.0055,0.0254,0.0348
2814,-0.0861,-0.0574,9.6479,3.5397,0.0032,0.0249,0.0325
2828,-0.0766,-0.0550,9.6646,3.5387,0.0063,0.0255,0.0367
2842,-0.1149,-0.0861,9.6981,3.5543,0.0044,0.0244,0.0324
2856,-0.0670,-0.0957,9.6670,3.5056,0.0061,0.0232,0.0388
2870,-0.1364,-0.0694,9.6335,3.4547,0.0073,0.0203,0.0351
2884,-0.1460,-0.0574,9.6503,3.4541,0.0020,0.0240,0.0345
2898,-0.1244,-0.0861,9.7196,3.5059,0.0060,0.0257,0.0360
2912,-0.1101,-0.0455,9.6694,3.4384,0.0050,0.0240,0.0362
2926,-0.0861,-0.0694,9.6814,3.4331,0.0047,0.0229,0.0331
2940,-0.1196,-0.0574,9.6742,3.4088,0.0035,0.0229,0.0388
2954,-0.0694,-0.0790,9.6814,3.3989,0.0041,0.0237,0.0316
2968,-0.1101,-0.0861,9.6670,3.3676,0.0043,0.0255,0.0359
2982,-0.0981,-0.0814,9.6670,3.3508,0.0070,0.0255,0.0345
2996,-0.0909,-0.0933,9.7220,3.3888,0.0047,0.0295,0.0353
3010,-0.1651,-0.0909,9.6790,3.3290,0.0018,0.0235,0.0370
3024,-0.1340,-0.0861,9.7292,3.3623,0.0038,0.0244,0.0334
3038,-0.1125,-0.0718,9.6670,3.2836,0.0047,0.0234,0.0345
3052,-0.0885,-0.0335,9.6885,3.2886,-0.0002,0.0254,0.0348
3066,-0.1196,-0.0766,9.7268,3.3103,0.0040,0.0231,0.0308
3080,-0.0861,-0.0574,9.6957,3.2628,0.0055,0.0249,0.0333
3094,-0.0837,-0.0694,9.6526,3.2036,0.0026,0.0270,0.0325
3108,-0.1316,-0.0837,9.6550,3.1900,0.0070,0.0246,0.0353
3122,-0.0790,-0.1292,9.7292,3.2478,0.0041,0.0267,0.0350
3136,-0.1340,-0.0742,9.6957,3.1983,0.0035,0.0247,0.0354
3150,-0.1316,-0.0837,9.7196,3.2061,0.0011,0.0197,0.0347
3164,-0.0431,-0.0885,9.6766,3.1472,0.0012,0.0254,0.0324
3178,-0.0837,-0.0742,9.6718,3.1267,0.0023,0.0249,0.0327
3192,-0.1149,-0.0526,9.6622,3.1015,0.0012,0.0246,0.0368
3206,-0.0933,-0.0694,9.6718,3.0955,0.0031,0.0241,0.0347
3220,-0.1316,-0.0574,9.6957,3.1039,0.0037,0.0244,0.0342
3234,-0.1531,-0.0694,9.7627,3.1550,-0.0006,0.0238,0.0342
3248,-0.1220,-0.0790,9.6598,3.0369,0.0024,0.0174,0.0299
3262,-0.0909,-0.0742,9.6239,2.9860,0.0050,0.0224,0.0324
3276,-0.1388,-0.0885,9.6694,3.0163,0.0029,0.0241,0.0307
3290,-0.1029,-0.0885,9.7675,3.0988,0.0017,0.0237,0.0356
3304,-0.1125,-0.0742,9.6479,2.9643,0.0050,0.0241,0.0304
3318,-0.0837,-0.0742,9.6694,2.9709,0.0000,0.0223,0.0299
3332,-0.0742,-0.0694,9.7125,2.9989,0.0024,0.0220,0.0338
3346,-0.1149,-0.0550,9.7436,3.0148,0.0021,0.0238,0.0313
3360,-0.1268,-0.0455,9.6742,2.9307,0.0049,0.0235,0.0302
3374,-0.1196,-0.0766,9.6885,2.9304,0.0008,0.0205,0.0313
