# ATP-5 SD Integrity Test
timestamp_ms,ax,ay,az_raw,az_filt,gx,gy,gz
810,-0.2034,0.0287,9.5713,6.3905,-0.0012,0.0237,0.0305
820,-0.2177,0.0574,9.6048,6.3918,-0.0014,0.0279,0.0272
830,-0.2321,0.0383,9.5809,6.3361,-0.0037,0.0244,0.0270
840,-0.2201,0.0407,9.5689,6.2925,-0.0006,0.0240,0.0276
850,-0.2273,0.0287,9.5761,6.2682,-0.0003,0.0228,0.0279
860,-0.2154,0.0383,9.5545,6.2154,-0.0018,0.0252,0.0307
870,-0.2106,0.0263,9.5904,6.2200,-0.0014,0.0247,0.0275
880,-0.2225,0.0359,9.5952,6.1937,-0.0014,0.0249,0.0260
890,-0.1962,0.0072,9.5809,6.1484,-0.0014,0.0250,0.0301
900,-0.2321,0.0335,9.6383,6.1748,-0.0021,0.0250,0.0284
910,-0.2249,0.0239,9.6191,6.1249,0.0000,0.0235,0.0302
920,-0.2034,0.0167,9.6048,6.0800,-0.0009,0.0234,0.0261
930,-0.2321,0.0000,9.5880,6.0329,-0.0020,0.0252,0.0302
940,-0.2345,0.6102,9.5952,6.0099,-0.0023,0.0223,0.0302
950,-0.2010,0.0144,9.6335,6.0180,-0.0026,0.0276,0.0295
960,-0.2130,0.0287,9.6024,5.9569,0.0017,0.0250,0.0260
970,-0.2369,0.0167,9.6191,5.9438,0.0021,0.0266,0.0284
980,-0.2465,0.0167,9.6407,5.9355,-0.0014,0.0220,0.0261
990,-0.2106,0.0120,9.6191,5.8844,0.0012,0.0260,0.0275
1000,-0.2034,0.0096,9.6144,5.8502,-0.0014,0.0250,0.0302
1125,-0.2082,0.0455,9.5761,5.7829,0.0006,0.0255,0.0321
1135,-0.2417,0.0120,9.5856,5.7635,0.0002,0.0202,0.0257
1145,-0.2441,0.0407,9.5952,5.7442,0.0012,0.0235,0.0318
1155,-0.2273,0.0694,9.5976,5.7179,-0.0032,0.0243,0.0298
1165,-0.2058,0.0263,9.6096,5.7012,0.0005,0.0241,0.0292
1175,-0.1962,0.0694,9.6120,5.6750,-0.0011,0.0301,0.0307
1185,-0.2680,0.0359,9.6191,5.6538,-0.0024,0.0228,0.0312
1195,-0.2632,0.0263,9.6000,5.6065,-0.0026,0.0260,0.0290
1205,-0.2106,0.0239,9.6239,5.6023,-0.0070,0.0257,0.0283
1215,-0.1914,0.0239,9.6742,5.6243,-0.0002,0.0224,0.0312
1225,-0.2489,0.0335,9.5952,5.5176,-0.0040,0.0229,0.0304
1235,-0.2393,0.0263,9.6311,5.5257,-0.0044,0.0244,0.0284
1245,-0.1914,0.0191,9.6550,5.5219,-0.0046,0.0258,0.0287
1255,-0.2106,0.0191,9.6191,5.4586,0.0003,0.0246,0.0328
1265,-0.2393,-0.0096,9.6263,5.4384,-0.0018,0.0235,0.0296
1275,-0.2560,0.0072,9.6431,5.4279,0.0014,0.0231,0.0324
1285,-0.2417,0.0479,9.5976,5.3555,-0.0066,0.0224,0.0298
1295,-0.2273,0.0455,9.6168,5.3478,-0.0038,0.0244,0.0292
1305,-0.2034,0.0287,9.6335,5.3377,-0.0003,0.0261,0.0304
1315,-0.2345,0.0072,9.6239,5.3015,0.0000,0.0235,0.0276
1325,-0.2536,0.0239,9.5976,5.2488,-0.0027,0.0267,0.0258
1335,-0.2321,0.0383,9.6359,5.2606,-0.0005,0.0235,0.0269
1345,-0.2417,0.0263,9.6598,5.2581,-0.0038,0.0223,0.0279
1355,-0.2273,0.0191,9.5833,5.1557,-0.0008,0.0255,0.0266
