# ATP-2 IMU Static Accuracy
phase,sample,az_raw,az_filt,timestamp_ms
45DEG,56,6.9727,-0.0729,59351
45DEG,57,7.2981,0.2513,59384
45DEG,58,7.0325,-0.0142,59412
45DEG,59,6.9248,-0.1213,59439
45DEG,60,7.0493,0.0031,59467
45DEG,61,7.1115,0.0650,59495
45DEG,62,7.0277,-0.0187,59523
45DEG,63,7.1115,0.0648,59551
45DEG,64,7.2120,0.1644,59578
45DEG,65,7.1665,0.1184,59606
45DEG,66,6.9846,-0.0632,59634
45DEG,67,6.9535,-0.0938,59662
45DEG,68,7.1330,0.0852,59689
45DEG,69,7.1210,0.0729,59717
45DEG,70,7.0828,0.0344,59745
45DEG,71,7.0397,-0.0086,59773
45DEG,72,6.9464,-0.1014,59800
45DEG,73,7.1163,0.0682,59828
45DEG,74,7.0301,-0.0179,59861
45DEG,75,6.9966,-0.0511,59887
45DEG,76,7.0947,0.0467,59916
45DEG,77,7.1545,0.1060,59943
45DEG,78,7.0373,-0.0112,59972
45DEG,79,6.8459,-0.2016,59998
45DEG,80,6.9009,-0.1458,60027
45DEG,81,7.1139,0.0668,60054
45DEG,82,7.0851,0.0379,60083
45DEG,83,7.0516,0.0044,60109
45DEG,84,7.1569,0.1091,60138
45DEG,85,7.1593,0.1110,60165
45DEG,86,7.0253,-0.0229,60194
45DEG,87,7.0205,-0.0276,60220
45DEG,88,6.9511,-0.0965,60249
45DEG,89,6.9224,-0.1246,60276
45DEG,90,7.0014,-0.0454,60309
45DEG,91,6.9990,-0.0475,60336
45DEG,92,7.1689,0.1217,60364
45DEG,93,7.0516,0.0045,60392
45DEG,94,7.0469,-0.0003,60420
45DEG,95,6.9464,-0.1003,60447
45DEG,96,7.0732,0.0264,60475
45DEG,97,7.2287,0.1810,60503
45DEG,98,7.1043,0.0563,60531
45DEG,99,6.9799,-0.0678,60558
45DEG,100,7.0564,0.0087,60586
# 45DEG_MEAN,7.0585,PASS
STATIC,1,9.7675,0.0421,100635
STATIC,2,9.7220,-0.0034,100662
STATIC,3,9.7173,-0.0081,100690
STATIC,4,9.7077,-0.0176,100718
STATIC,5,9.7388,0.0135,100746
STATIC,6,9.6885,-0.0366,100778
STATIC,7,9.7795,0.0540,100805
STATIC,8,9.6885,-0.0367,100833
STATIC,9,9.7029,-0.0222,100860
STATIC,10,9.7436,0.0184,100888
STATIC,11,9.7412,0.0159,100915
STATIC,12,9.6957,-0.0294,100944
STATIC,13,9.7651,0.0398,100970
STATIC,14,9.7340,0.0086,100997
STATIC,15,9.7412,0.0157,101023
STATIC,16,9.7508,0.0252,101052
STATIC,17,9.7508,0.0250,101105
STATIC,18,9.7005,-0.0251,101158
STATIC,19,9.7029,-0.0226,101187
STATIC,20,9.6909,-0.0344,101239
STATIC,21,9.6957,-0.0295,101291
STATIC,22,9.6981,-0.0269,101330
STATIC,23,9.7149,-0.0101,101381
STATIC,24,9.7244,-0.0005,101434
STATIC,25,9.7268,0.0018,101463
STATIC,26,9.7508,0.0256,101515
STATIC,27,9.7029,-0.0221,101568
STATIC,28,9.7436,0.0185,101596
STATIC,29,9.7388,0.0136,101650
STATIC,30,9.7268,0.0016,101703
STATIC,31,9.7412,0.0159,101732
STATIC,32,9.7484,0.0230,101785
STATIC,33,9.7340,0.0086,101837
STATIC,34,9.7531,0.0276,101866
STATIC,35,9.7603,0.0346,101919
STATIC,36,9.7005,-0.0251,101973
STATIC,37,9.7053,-0.0202,102002
STATIC,38,9.7053,-0.0201,102034
STATIC,39,9.7244,-0.0010,102062
STATIC,40,9.7149,-0.0105,102090
STATIC,41,9.7196,-0.0057,102142
STATIC,42,9.6718,-0.0533,102171
STATIC,43,9.7484,0.0232,102223
STATIC,44,9.7244,-0.0007,102277
STATIC,45,9.6838,-0.0412,102306
STATIC,46,9.7819,0.0566,102335
STATIC,47,9.7819,0.0563,102364
STATIC,48,9.7340,0.0084,102417
STATIC,49,9.6981,-0.0273,102445
STATIC,50,9.7173,-0.0081,102473
STATIC,51,9.7531,0.0276,102501
