# ATP-3 TAP TEST
timestamp_ms,ax,ay,az_raw,az_filt,gx,gy,gz
790,-0.2728,-0.0311,9.6311,6.5059,-0.0027,0.0249,0.0267
800,-0.2560,-0.0191,9.6024,6.4448,-0.0015,0.0295,0.0313
810,-0.2249,-0.0120,9.6263,6.4364,-0.0038,0.0266,0.0273
820,-0.2847,-0.0024,9.6096,6.3875,-0.0023,0.0272,0.0273
830,-0.2273,-0.0335,9.6742,6.4199,-0.0081,0.0273,0.0321
840,-0.2560,-0.0455,9.6407,6.3544,-0.0012,0.0308,0.0302
850,-0.2536,-0.0048,9.6215,6.3036,-0.0041,0.0247,0.0301
860,-0.2345,-0.0215,9.6694,6.3197,-0.0015,0.0283,0.0312
870,-0.2489,-0.0191,9.6263,6.2453,-0.0021,0.0279,0.0301
880,-0.2489,-0.0479,9.6168,6.2045,0.0002,0.0202,0.0286
890,-0.2584,-0.0287,9.6335,6.1902,-0.0050,0.0275,0.0313
900,-0.2824,-0.0215,9.6598,6.1854,-0.0026,0.0266,0.0296
910,-0.2536,-0.0263,9.6526,6.1473,-0.0053,0.0208,0.0301
920,-0.2369,-0.0335,9.6024,6.0666,-0.0049,0.0235,0.0307
930,-0.2225,-0.0120,9.6622,6.0958,-0.0034,0.0246,0.0264
940,-0.2465,-0.0359,9.6263,6.0296,-0.0043,0.0284,0.0284
950,-0.2608,-0.0311,9.6191,5.9923,-0.0009,0.0292,0.0261
960,-0.2800,-0.0263,9.6263,5.9695,-0.0032,0.0235,0.0292
970,-0.2321,-0.0215,9.6455,5.9587,-0.0046,0.0289,0.0273
980,-0.2728,-0.0263,9.6766,5.9598,-0.0024,0.0286,0.0286
990,-0.2345,-0.0287,9.6694,5.9229,-0.0034,0.0292,0.0293
1000,-0.2201,-0.0311,9.6646,5.8885,-0.0046,0.0272,0.0296
1145,-0.2608,-0.0407,9.6072,5.8019,-0.0015,0.0247,0.0279
1155,-0.2393,-0.0215,9.6024,5.7682,-0.0052,0.0313,0.0276
1165,-0.2249,-0.0287,9.6431,5.7798,-0.0021,0.0267,0.0258
1175,-0.2177,-0.0167,9.6766,5.7842,-0.0060,0.0281,0.0305
1185,-0.2752,-0.0239,9.6790,5.7577,-0.0061,0.0279,0.0310
1195,-0.2584,-0.0287,9.6287,5.6789,-0.0014,0.0296,0.0305
1205,-0.2704,-0.0072,9.6550,5.6767,-0.0050,0.0299,0.0295
1215,-0.2704,-0.0479,9.6407,5.6340,-0.0040,0.0275,0.0278
1225,-0.2465,-0.0144,9.6766,5.6416,-0.0011,0.0338,0.0289
1235,-0.2536,-0.0144,9.6933,5.6300,-0.0034,0.0290,0.0279
1245,-0.2608,-0.0502,9.6287,5.5376,-0.0009,0.0286,0.0289
1255,-0.2608,-0.0144,9.6407,5.5218,-0.0063,0.0224,0.0267
1265,-0.2465,-0.0072,9.6479,5.5014,-0.0075,0.0267,0.0281
1275,-0.2560,-0.0311,9.6718,5.4977,-0.0005,0.0260,0.0252
1285,-0.2393,0.0024,9.6933,5.4916,-0.0006,0.0276,0.0272
1295,-0.2417,-0.0072,9.6598,5.4308,-0.0012,0.0299,0.0263
1305,-0.2441,-0.0167,9.6933,5.4370,-0.0063,0.0293,0.0269
1315,-0.2704,-0.0263,9.6742,5.3908,-0.0032,0.0244,0.0315
1325,-0.2728,-0.0287,9.6766,5.3662,-0.0046,0.0283,0.0267
1335,-0.2441,-0.0287,9.7029,5.3655,-0.0027,0.0290,0.0283
1345,-0.2441,-0.0431,9.6526,5.2887,-0.0021,0.0252,0.0283
1355,-0.2536,-0.0167,9.6694,5.2789,-0.0038,0.0270,0.0299
1365,-0.2943,0.0000,9.6455,5.2287,-0.0032,0.0267,0.0273
1375,-0.2704,-0.0191,9.6694,5.2264,-0.0012,0.0243,0.0298
1385,-0.2417,-0.0120,9.6933,5.2241,-0.0005,0.0258,0.0267
1395,-0.2895,-0.0144,9.6287,5.1337,-0.0031,0.0266,0.0257
